1,amp,False
2,analysis,False
3,animal,False
4,apartment,False
5,as,False
6,ashemaletube,False
7,babe,False
8,black,False
9,casino,False
10,center,False
11,china,False
12,city,False
13,code,False
14,coin,False
15,company,False
16,component,False
17,consciousness,False
18,contact,False
19,day,False
20,design,False
21,discovery,False
22,end,False
23,event,False
24,everything,False
25,extension,False
26,factory,False
27,file,False
28,flight,False
29,floor,False
30,function,False
31,granny,False
32,gt,False
33,heart,False
34,home,False
35,information,False
36,insurance,False
37,investment,False
38,jehovah,False
39,kiev,False
40,king,False
41,language,False
42,list,False
43,live,False
44,location,False
45,lord,False
46,mail,False
47,manufacturer,False
48,mature,False
49,may,False
50,men,False
51,message,False
52,method,False
53,mm,False
54,moncler,False
55,monster,False
56,month,False
57,name,False
58,news,False
59,number,False
60,pan,False
61,payment,False
62,peacekeeper,False
63,people,False
64,phone,False
65,plan,False
66,pornhub,False
67,price,False
68,product,False
69,project,False
70,property,False
71,publication,False
72,russia,False
73,sale,False
74,sea,False
75,search,False
76,sedan,False
77,set,False
78,sheet,False
79,shemalez,False
80,snapshot,False
81,software,False
82,sterling,False
83,storage,False
84,striptease,False
85,supplier,False
86,system,False
87,tag,False
88,terrace,False
89,tiff,False
90,time,False
91,tit,False
92,toy,False
93,troll,False
94,type,False
95,vest,False
96,view,False
97,water,False
98,week,False
99,window,False
100,work,False
101,world,False
102,xhamster,False
103,ye,False
104,year,False
